generation(kWh),power(W)
0,0
0,0
0.01,63.347218
0.033,132.36986
0.231,1012.45685
0.433,1626.361
0.76,3598.4492
0.782,3635.6199
1.528,8014.8296
1.695,4562.6895
1.303,5358.587
1.323,4618.7285
0.738,3003.7253
1.231,5702.3853
1.603,6030.899
0.742,3579.1162
2.013,7200.092
1.621,6574.8535
1.411,5575.8384
2.251,9910.053
3.418,17217.11
2.028,9705.329
3.897,12414.299
3.062,9710.399
3.026,12593.126
4.912,23709.2
4.673,20140.895
7.29,29636.975
6.25,18258.727
5.119,17935.73
6.144,24009.777
7.033,26606.188
6.853,27026.035
6.73,27531.162
6.436,24726.994
6.376,25346.873
5.95,23072.58
5.383,20875.143
4.973,19128.375
3.05,13889.361
3.73,16716.65
3.257,11831.26
1.928,6861.5483
1.825,6879.767
2.02,8412.935
2.01,7045.6206
1.362,5229.9155
1.572,6175.345
1.196,4185.112
0.594,2165.3872
0.307,1067.5461
0.15,463.89297
0.059,167.82697
0,1.6180243
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.039,125.43344
0.134,576.84314
0.279,1323.7351
0.826,3364.9253
1.048,4202.91
1.611,7352.144
1.764,7271.613
1.783,6411.6235
1.253,4625.084
1.604,6460.8364
1.256,4724.3022
2.592,13206.081
4.716,19959.04
3.906,11246.003
2.416,6963.176
1.141,3435.3953
0.607,2355.981
1.121,4042.4807
1.63,6150.5835
1.504,7610.386
4.169,17025.252
3.54,12065.035
4.883,20268.418
3.992,10489.1045
3.414,16040.29
5.051,17959.268
3.775,12927.185
3.548,18076.37
3.849,19105.72
6.318,29491.904
7.036,27955.395
5.183,22527.293
6.478,24279.63
6.087,23496.168
5.174,17612.41
5.451,22701.95
2.647,6322.8423
2.892,6987.653
2.854,7381.9272
2.808,7366.562
2.525,9174.324
2.676,11374.407
1.432,4829.834
1.148,5304.4
0.88,3468.7441
0.696,2435.1025
0.763,2611.8057
0.467,1460.1482
0.242,1161.3635
0.152,574.14355
0.055,183.74678
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.004,47.64691
0.035,101.19843
0.076,256.67905
