generation(kWh),power(W)
3.15,10856.333
6.222,25855.666
6.434,25199.334
8.036,31283
8.051,32130
8.621,33669.332
6.302,23019.666
6.206,27281
7.325,29211.334
7.862,31290.334
4.319,17935.666
4.811,12979
4.317,20955
4.335,22097
6.924,32743.334
10.789,41357
10.344,39823
10.055,38856
9.108,39079
9.839,38085
9.342,35395.332
8.916,35125.332
9.033,35254
8.424,34130.332
8.187,31667
7.817,30211.666
7.316,27777.666
6.802,26120.334
6.331,24394.334
5.725,21875.666
3.147,6153
1.595,6686
3.387,13254.667
3.132,11229
2.075,7733.6665
1.201,3961.6667
0.54,1819.6666
0.368,1379.6666
0.245,772.3333
0.042,113.333336
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.016,122
0.17,769
0.31,1332.6666
0.345,1331.6666
0.208,848
0.502,2136
1.407,7917.6665
2.579,8506
3.178,15587.667
4.461,19628.666
2.854,7900.6665
5.72,22660.334
6.947,26802.334
4.482,20940.666
7.472,29207.334
8.119,32098.334
8.228,28357.334
8.279,35055.668
7.982,26983
3.994,12000.333
3.184,9757.333
8.896,32390.666
6.871,28949.334
7.98,30136
7.594,15951
8.858,40791.668
8.132,38777.332
9.17,35595.332
8.984,27345.666
8.179,31091.334
6.516,37462.332
9.449,30011.666
9.226,42612.332
8.412,32424
5.92,21277
6.431,38932.668
6.663,33345
6.236,23988.666
4.287,13192
3.413,13918.667
5.482,22587
5.309,25073.334
5.584,23055
5.043,19101.334
4.314,16249.333
3.324,12081.333
2.065,7350.3335
1.304,4666.6665
0.724,2626
0.469,1659
0.27,1058
0.173,555.6667
0.057,178
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,9.666667
0.098,516.3333
0.354,1586.6666
0.757,3299
1.382,5782
2.354,9796
2.829,11499
3.285,14629.667
3.314,11025
2.22,10105.667
4.721,18851
4.917,20616
5.768,20493.334
6.143,25303.334
6.232,19434
2.198,11777.667
3.141,14136
8.25,32407.666
8.831,35933.332
8.715,34974.668
9.24,29341
7.786,28669
3.832,13776
10.021,36612.332
8.863,35016
9.283,42115.332
10.448,37961
8.312,28605
10.231,36710.332
9.817,39265.668
8.688,27248
10.148,39311.332
9.664,37743.332
8.211,30678
7.402,37976
7.706,34963
8.124,33490
6.232,23138.666
7.621,29052
6.943,27305.666
6.499,24657.334
5.951,22737.666
5.417,20691.334
4.542,17185.666
3.809,14359.667
3.016,10826.667
1.978,6911.3335
1.098,3952.3333
0.704,2568.6667
0.525,1899.6666
0.314,1099.3334
0.137,427
0.029,76
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.001,34
0.134,666.3333
0.367,1603.6666
0.524,2020.6666
0.706,2790
1.152,4383.3335
1.778,7380.3335
2.462,9937
3.079,12279.667
3.748,15114
4.622,18735
5.287,20307.334
5.379,21680.334
6.44,25383.666
6.751,25631
7.044,27687.666
7.482,29301.666
7.885,31067.666
8.366,32899
8.839,34790.668
7.69,34765.668
9.72,32614.334
9.084,39229.668
9.249,37632
9.802,38132.668
9.671,37398.668
9.831,38508.668
9.987,39145.668
10.252,39767.668
9.944,39007.332
10.131,38985
9.621,37334.668
9.527,36941.332
8.901,35138
8.702,33738.668
5.82,21401
8.107,31066.334
7.615,29411.334
7.157,25976
6.605,24109.666
6.312,24020
3.326,8979.667
4.57,19783.666
4.522,17225
3.858,14424.333
3.036,11025
1.947,6973
1.22,4482.6665
0.883,3218.3333
0.595,2149.6667
0.33,1120.6666
0.071,190.66667
0,4.3333335
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.054,336.33334
0.243,868.3333
0.267,1429.6666
0.487,1371.6666
0.98,4859.6665
1.807,7602.3335
2.457,10753
3.129,13338.333
4.014,16157.667
4.732,18585.334
5.326,21209
5.352,22459.666
6.233,24726
6.871,26938.334
7.236,28341.666
7.592,29755
7.943,31018
8.263,32335.666
8.616,33562
8.776,34343.668
9.166,35926.332
9.447,36685.332
9.385,36572
9.415,36825
9.715,37917.332
9.997,39865.668
10.29,39659
10.072,39163
9.952,38632.332
9.842,38144
9.765,37817.668
9.384,36356.332
9.162,35408.668
8.997,34836
8.701,33627.332
8.417,32454.334
8.041,30997
7.621,29351.666
7.167,27515.334
6.649,25452.666
5.549,22301.666
5.124,17577
3.657,18271.334
4.415,16839
3.383,12048
2.025,7144
1.191,4302
0.816,3005.6667
0.568,2048.6667
0.354,1272.3334
0.212,720
0.055,145
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,19
0.045,219.33333
0.134,580
0.23,985.3333
0.41,1719
0.584,2361.6667
0.756,3056
0.931,3785
1.237,4905.3335
1.336,5229
1.501,5981.3335
1.739,6902.6665
1.793,6844.6665
2.043,8480.667
2.789,11180.333
3.207,12688.333
3.655,13508
3.466,14242.333
4.875,19621
4.979,19440.334
7.481,29623.666
7.114,29572
3.734,9666
0.685,3012.3333
1.364,5737.3335
1.864,7437.3335
2.124,8207.333
2.309,9478
2.733,10972
3.649,14438.667
3.329,12739.333
2.691,10027.333
2.194,8418.333
2.444,9750.667
2.817,11447.667
3.53,14764.667
3.242,10756
1.719,6208
1.291,4849.3335
1.152,4429.6665
1.152,4538.6665
1.261,4968
1.334,5199
1.283,4885.6665
1.103,4191.6665
0.986,3756
0.916,3477.3333
0.637,2360.3333
0.553,1993.6666
0.299,1063.3334
0.17,578.3333
0.019,59.333332
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.049,278.66666
0.181,791.6667
0.285,1147.6666
0.335,1316.6666
0.369,1468.3334
0.391,1559.6666
0.857,4057.6667
1.833,7078.3335
1.72,6881.6665
1.87,7124.3335
1.565,5876
2.023,8541
2.519,10136.333
2.244,8001.6665
1.625,6412
1.625,5865.6665
1.476,5869.3335
1.305,4955.6665
1.157,4073.3333
0.758,3305
1.756,7607
2.346,9245.333
2.585,10400.333
2.683,11925.667
3.138,12395.333
3.658,14497
4.038,15918.333
5.455,21255.334
5.201,19848.334
3.967,16062.667
4.362,16422.666
3.839,14554.667
4.185,19217.334
5.617,21532.334
6.96,29879.666
9.194,39609.332
7.824,29966.334
3.957,16012.667
3.282,11717.333
3.712,14317.333
3.526,14349
4.082,16928.334
4.417,16882.666
3.929,14471
2.624,8494.667
2.37,7537.3335
2.001,8446.333
1.32,4376.3335
0.652,2207
0.245,763.3333
0.053,137.33333
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,19.666666
